name,generic_name,brand_name,category,unit,retail_price,purchase_price,reorder_level,shelf_location,notes
Propranolol,Inderal,AstraZeneca,Tablet,Strip,25.00,18.00,35,I1-05,Beta-blocker
Amlodipine,Norvasc,Pfizer,Tablet,Strip,60.00,42.00,30,I1-06,CCB
Nifedipine,Adalat,Bayer,Tablet,Strip,45.00,32.00,25,I1-07,CCB
Diltiazem,Cardizem,Bayer,Tablet,Strip,70.00,50.00,20,I1-08,CCB
Verapamil,Calan,Abbott,Tablet,Strip,50.00,35.00,20,I1-09,CCB
Lisinopril,Prinivil,MSD,Tablet,Strip,55.00,38.00,25,I1-10,ACE Inhibitor
Enalapril,Renitec,MSD,Tablet,Strip,40.00,28.00,30,I1-11,ACE Inhibitor
Ramipril,Altace,Sanofi,Tablet,Strip,80.00,55.00,20,I1-12,ACE Inhibitor
Losartan,Cozaar,MSD,Tablet,Strip,90.00,65.00,20,I1-13,ARB
Valsartan,Diovan,Novartis,Tablet,Strip,100.00,72.00,18,I1-14,ARB
Telmisartan,Telma,Glenmark,Tablet,Strip,65.00,45.00,22,I1-15,ARB
Irbesartan,Aprovel,Sanofi,Tablet,Strip,110.00,78.00,15,I1-16,ARB
Hydralazine,Apresoline,Novartis,Tablet,Strip,30.00,22.00,20,I1-17,Vasodilator
Minoxidil,Rogaine,Pfizer,Tablet,Strip,150.00,110.00,10,I1-18,Vasodilator
Digoxin,Lanoxin,GSK,Tablet,Strip,25.00,18.00,20,I1-19,Cardiac Glycoside
Furosemide,Lasix,Sanofi,Tablet,Strip,20.00,14.00,40,I1-20,Diuretic
Hydrochlorothiazide,Esidrix,Novartis,Tablet,Strip,15.00,10.00,45,I1-21,Diuretic
Spironolactone,Aldactone,Pfizer,Tablet,Strip,40.00,28.00,25,I1-22,Diuretic
Torsemide,Remedex,Sanofi,Tablet,Strip,60.00,42.00,20,I1-23,Diuretic
Aspirin,Disprin,Reckitt,Tablet,Strip,15.00,10.00,50,J1-01,Antiplatelet
Clopidogrel,Plavix,Sanofi,Tablet,Strip,200.00,145.00,15,J1-02,Antiplatelet
Warfarin,Coumadin,Bristol-Myers,Tablet,Strip,30.00,22.00,25,J1-03,Anticoagulant
Heparin,Heparin,Pfizer,Injection,Box,150.00,110.00,10,J1-04,Anticoagulant
Enoxaparin,Clexane,Sanofi,Injection,Box,400.00,290.00,8,J1-05,LMWH
Rivaroxaban,Xarelto,Bayer,Tablet,Strip,500.00,360.00,5,J1-06,DOAC
Apixaban,Eliquis,Pfizer,Tablet,Strip,550.00,395.00,5,J1-07,DOAC
Dabigatran,Pradaxa,Boehringer,Tablet,Strip,450.00,325.00,5,J1-08,DOAC
Atorvastatin,Lipitor,Pfizer,Tablet,Strip,120.00,85.00,25,K1-01,Statin
Rosuvastatin,Crestor,AstraZeneca,Tablet,Strip,150.00,110.00,22,K1-02,Statin
Simvastatin,Zocor,MSD,Tablet,Strip,80.00,55.00,30,K1-03,Statin
Pravastatin,Pravachol,BMS,Tablet,Strip,90.00,65.00,20,K1-04,Statin
Fenofibrate,Tricor,Abbott,Tablet,Strip,100.00,72.00,18,K1-05,Fibrate
Gemfibrozil,Lopid,Pfizer,Tablet,Strip,70.00,50.00,20,K1-06,Fibrate
Ezetimibe,Zetia,MSD,Tablet,Strip,200.00,145.00,12,K1-07,Cholesterol Absorption
Omega-3,Omacor,Sanofi,Tablet,Strip,180.00,130.00,15,K1-08,OMEGA-3
Niacin,Niasin,Various,Tablet,Strip,40.00,28.00,20,K1-09,Niacin
Prednisolone,Prednisolone,Various,Tablet,Strip,15.00,10.00,40,L1-01,Corticosteroid
Dexamethasone,Decadron,MSD,Tablet,Strip,20.00,14.00,35,L1-02,Corticosteroid
Methylprednisolone,Solu-Medrol,Pfizer,Injection,Box,120.00,85.00,15,L1-03,Corticosteroid Injection
Betamethasone,Celestone,Schering,Tablet,Strip,25.00,18.00,25,L1-04,Corticosteroid
Hydrocortisone,Hydrocortisone,Various,OTC,Box,30.00,22.00,30,L1-05,Corticosteroid Topical
Beclomethasone,Becotide,GSK,Prescription,Box,200.00,145.00,15,L1-06,Inhaled Steroid
Fluticasone,Flixotide,GSK,Prescription,Box,350.00,250.00,10,L1-07,Inhaled Steroid
Budesonide,Pulmicort,AstraZeneca,Prescription,Box,400.00,290.00,8,L1-08,Inhaled Steroid
Montelukast,Singulair,MSD,Tablet,Strip,120.00,85.00,20,L1-09,Leukotriene Modifier
Salbutamol,Ventolin,GSK,Prescription,Box,120.00,85.00,25,L1-10,Bronchodilator
Ipratropium,Atrovent,Boehringer,Prescription,Box,150.00,110.00,15,L1-11,Bronchodilator
Theophylline,Theo-Dur,Various,Tablet,Strip,30.00,22.00,30,L1-12,Xanthine
Terbutaline,Bricanyl,AstraZeneca,Syrup,Bottle,35.00,25.00,25,L1-13,Bronchodilator Syrup
Ambroxol,Mucosolvan,Boehringer,Syrup,Bottle,50.00,35.00,25,L1-14,Expectorant
Acetylcysteine,Fluimucil,Zambon,Tablet,Strip,60.00,42.00,20,L1-15,Mucolytic
Carbocisteine,Mucodyne,Sanofi,Tablet,Strip,80.00,55.00,18,L1-16,Mucolytic
Bromhexine,Bisolvon,Boehringer,Syrup,Bottle,35.00,25.00,30,L1-17,Expectorant
Guaifenesin,Robitussin,Pfizer,Syrup,Bottle,45.00,32.00,25,L1-18,Expectorant
Dextromethorphan,Romilar,Hoffmann,Tablet,Strip,30.00,22.00,30,L1-19,Antitussive
Codeine,Codeine Phosphate,Various,Tablet,Strip,25.00,18.00,15,L2-01,Antitussive Opioid
Loperamide,Imodium,Janssen,Tablet,Strip,50.00,35.00,25,M1-01,Antidiarrheal
ORS,ORS,Various,Prescription,Sachet,10.00,7.00,100,M1-02,Rehydration
Lactulose,Duphalac,Abbott,Syrup,Bottle,60.00,42.00,20,M1-03,Laxative
Bisacodyl,Dulcolax,Bayer,Tablet,Strip,20.00,14.00,30,M1-04,Laxative
Senna,Sennamid,Various,Tablet,Strip,15.00,10.00,35,M1-05,Laxative
Psyllium,Ispaghula Husk,Various,Prescription,Box,45.00,32.00,25,M1-06,Bulk Forming
Ondansetron,Zofran,GSK,Syrup,Bottle,55.00,38.00,20,M1-07,Antiemetic Syrup
Domperidone,Motilium,Janssen,Syrup,Bottle,35.00,25.00,30,M1-08,Prokinetic Syrup
Pantoprazole,Pantoloc,Takeda,Tablet,Strip,80.00,55.00,25,B1-04,PPI
Rabeprazole,Pariet,Janssen,Tablet,Strip,90.00,65.00,22,B1-05,PPI
Lansoprazole,Prevacid,Takeda,Tablet,Strip,75.00,53.00,25,B1-06,PPI
Famotidine,Pepcid,MSD,Tablet,Strip,50.00,35.00,25,B1-07,H2 Blocker
Ranitidine,Zantac,GSK,Tablet,Strip,30.00,22.00,30,B1-08,H2 Blocker
Sucralfate,Sucrafil,Various,Tablet,Strip,40.00,28.00,20,B1-09,Cytoprotective
Misoprostol,Cytotec,Pfizer,Tablet,Strip,60.00,42.00,15,B1-10,Prostaglandin
Omeprazole+Clarithromycin+Amoxicillin,H.pylori Triple Therapy,Various,Prescription,Box,300.00,215.00,10,B1-11,H.pylori Kit
Vitamin C,Cevex,Various,Tablet,Strip,25.00,18.00,50,N1-01,Vitamin
Vitamin D3,D3-Vit,Various,Tablet,Strip,60.00,42.00,30,N1-02,Vitamin
Vitamin B Complex,Becosules,Pfizer,Tablet,Strip,30.00,22.00,40,N1-03,Vitamin
Vitamin B12,Cobamin,Various,Tablet,Strip,35.00,25.00,25,N1-04,Vitamin
Folic Acid,Folic Acid,Various,Tablet,Strip,10.00,7.00,50,N1-05,Vitamin
Iron,Occobolin,Various,Tablet,Strip,20.00,14.00,40,N1-06,Mineral
Calcium,Calpol 500,GSK,Tablet,Strip,30.00,22.00,35,N1-07,Mineral
Zinc,Zincovit,Various,Tablet,Strip,25.00,18.00,30,N1-08,Mineral
Multivitamin,Supradyn,Bayer,Tablet,Strip,55.00,38.00,30,N1-09,Multivitamin
Centrum,Centrum,Pfizer,Tablet,Box,350.00,250.00,10,N1-10,Multivitamin Premium
E-Vit,E-Vit,Various,Tablet,Strip,30.00,22.00,25,N1-11,Vitamin E
Becosules Syrup,Becosules,Pfizer,Syrup,Bottle,50.00,35.00,25,N1-12,Vitamin Syrup
Iron+Folic Acid,Iron Folic,Various,Tablet,Strip,12.00,8.00,50,N1-13,Iron Supplement
Calcium+Vitamin D,Cal-D-Vita,Various,Tablet,Strip,45.00,32.00,30,N1-14,Calcium Combo
Omega-3 Fish Oil,Cardiovascular,Various,Tablet,Box,180.00,130.00,15,N1-15,Supplement
Coenzyme Q10,CoQ10,Various,Tablet,Box,250.00,180.00,8,N1-16,Supplement
Probiotics,Acidophilus,Various,Tablet,Box,120.00,85.00,15,N1-17,Probiotic
Glucosamine,Glucosamine,Various,Tablet,Box,150.00,110.00,12,N1-18,Supplement
Collagen,Collagen,Various,Prescription,Box,200.00,145.00,10,N1-19,Supplement
Melatonin,Melatonin,Various,Tablet,Box,100.00,72.00,15,N1-20,Sleep Aid
Paracetamol Syrup,Paracetamol,GSK,Syrup,Bottle,25.00,18.00,40,A1-06,Analgesic Syrup
Brufen Syrup,Ibuprofen,Abbott,Syrup,Bottle,40.00,28.00,35,A1-07,NSAID Syrup
Panadol Extra,Paracetamol+Caffeine,GSK,Tablet,Strip,35.00,25.00,40,A1-08,Analgesic
Solpadeine,Paracetamol+Codeine,GSK,Tablet,Strip,50.00,35.00,25,A1-09,Opioid Combination
Tramadol,Tramal,GSK,Tablet,Strip,60.00,42.00,15,A1-10,Opioid Analgesic
Morphine,Morphine Sulfate,Pfizer,Tablet,Strip,80.00,55.00,8,A1-11,Opioid Strong
Pethidine,Pethidine,Various,Injection,Box,40.00,28.00,10,A1-12,Opioid Injection
Diclofenac Gel,Voltaren Emulgel,GSK,OTC,Box,80.00,55.00,25,A1-13,Topical NSAID
Capsaicin,Capsaicin,Various,OTC,Box,50.00,35.00,20,A1-14,Topical Analgesic
Lidocaine,Lidocaine,Various,OTC,Box,30.00,22.00,25,A1-15,Topical Anesthetic
Benzoyl Peroxide,Benzac,GSK,OTC,Box,120.00,85.00,15,O1-01,Acne Treatment
Clindamycin,Clindamycin,Various,OTC,Box,60.00,42.00,20,O1-02,Topical Antibiotic
Tretinoin,Retin-A,Various,OTC,Box,150.00,110.00,10,O1-03,Retinoid
Hydroquinone,Hydroquinone,Various,OTC,Box,80.00,55.00,12,O1-04,Skin Lightening
Fluocinolone,Synalar,GSK,OTC,Box,40.00,28.00,20,O1-05,Topical Steroid
Betnovate,Gbetamethasone,GSK,OTC,Box,45.00,32.00,25,O1-06,Topical Steroid
Clobetasol,Dermovate,GSK,OTC,Box,50.00,35.00,20,O1-07,Topical Steroid Potent
Permethrin,Permethrin,Various,OTC,Box,35.00,25.00,20,O1-08,Scabicide
Terbinafine Cream,Lamisil,Novartis,OTC,Box,80.00,55.00,20,O1-09,Topical Antifungal
Miconazole,Daktarin,Janssen,OTC,Box,40.00,28.00,25,O1-10,Topical Antifungal
Ketoconazole,Nizoral,Janssen,OTC,Bottle,120.00,85.00,15,O1-11,Antifungal Shampoo
Selenium Sulfide,Selsun,Abbott,OTC,Bottle,100.00,72.00,15,O1-12,Antifungal Shampoo
Calamine,Calamine Lotion,Various,OTC,Bottle,25.00,18.00,30,O1-13,Anti-itch
Cetirizine,Zyrtec,Johnson & Johnson,Tablet,Strip,50.00,35.00,35,P1-01,Antihistamine
Loratadine,Clarityne,Bayer,Tablet,Strip,45.00,32.00,35,P1-02,Antihistamine
Fexofenadine,Telfast,Sanofi,Tablet,Strip,80.00,55.00,25,P1-03,Antihistamine
Levocetirizine,Xyzal,UCB,Tablet,Strip,60.00,42.00,25,P1-04,Antihistamine
Chlorpheniramine,Piriton,GSK,Tablet,Strip,20.00,14.00,30,P1-05,Antihistamine
Diphenhydramine,Benadryl,Johnson & Johnson,Syrup,Bottle,35.00,25.00,30,P1-06,Antihistamine Syrup
Promethazine,Phenergan,Sanofi,Syrup,Bottle,40.00,28.00,20,P1-07,Antihistamine Sedating
Montelukast+Levocetirizine,Deriphyllin,Various,Tablet,Strip,90.00,65.00,20,P1-08,Anti-allergy Combo
Epinephrine,Adrenaline,Pfizer,Injection,Box,100.00,72.00,10,P1-09,Anaphylaxis
Dexamethasone Injection,Decadron,MSD,Injection,Box,25.00,18.00,20,L1-20,Steroid Injection
Prednisolone Eye Drops,Prednisolone,Various,Prescription,Bottle,30.00,22.00,20,L1-21,Steroid Eye
Timolol,Timoptic,MSD,Prescription,Bottle,60.00,42.00,15,Q1-01,Glaucoma
Betaxolol,Betoptic,Alcon,Prescription,Bottle,80.00,55.00,12,Q1-02,Glaucoma
Latanoprost,Xalatan,Pfizer,Prescription,Bottle,200.00,145.00,10,Q1-03,Glaucoma PG Analog
Dorzolamide,Trusopt,MSD,Prescription,Bottle,150.00,110.00,10,Q1-04,Glaucoma CAI
Pilocarpine,Pilocarpine,Various,Prescription,Bottle,30.00,22.00,15,Q1-05,Glaucoma Miotic
Atropine,Atropine,Various,Prescription,Bottle,25.00,18.00,15,Q1-06,Mydriatic
Cyclopentolate,Cyclogyl,Alcon,Prescription,Bottle,35.00,25.00,12,Q1-07,Mydriatic
Tropicamide,Mydriacyl,Alcon,Prescription,Bottle,40.00,28.00,12,Q1-08,Mydriatic
Artificial Tears,Lubristil,Various,Prescription,Bottle,30.00,22.00,25,Q1-09,Lubricant Eye
Fluorescein,Fluorets,Bausch,Prescription,Box,20.00,14.00,15,Q1-10,Diagnostic Eye
Omeprazole Capsule,Omeprazole,Various,Tablet,Strip,35.00,25.00,35,B1-12,PPI Capsule
Pantoprazole Sodium,Pantoprazole,Various,Tablet,Strip,55.00,38.00,28,B1-13,PPI
Esomeprazole+Naproxen,Duexis,Horizon,Tablet,Strip,250.00,180.00,8,B1-14,Combination
Rabeprazole+Domperidone,Rabeprazole DC,Various,Tablet,Strip,65.00,45.00,25,B1-15,Prokinetic PPI
Ondansetron Injection,Ondansetron,Various,Injection,Box,40.00,28.00,15,G1-05,Antiemetic Injection
Granisetron,Kytril,Roche,Injection,Box,80.00,55.00,10,G1-06,5HT3 Antagonist
Metoclopramide Injection,Maxolon,GSK,Injection,Box,20.00,14.00,20,G1-07,Prokinetic Injection
Promethazine Injection,Phenergan,Sanofi,Injection,Box,25.00,18.00,15,G1-08,Antiemetic Injection
Diazepam Injection,Valium,Roche,Injection,Box,40.00,28.00,10,C1-06,Benzo Injection
Lorazepam Injection,Ativan,Wyeth,Injection,Box,50.00,35.00,8,C1-07,Benzo Injection
Midazolam,Dormicum,Roche,Injection,Box,60.00,42.00,10,C1-08,Benzo Injection
Haloperidol,Haldol,Janssen,Tablet,Strip,30.00,22.00,15,C1-09,Typical Antipsychotic
Olanzapine,Zyprexa,Eli Lilly,Tablet,Strip,200.00,145.00,10,C1-10,Atypical Antipsychotic
Quetiapine,Seroquel,AstraZeneca,Tablet,Strip,180.00,130.00,10,C1-11,Atypical Antipsychotic
Aripiprazole,Abilify,Otsuka,Tablet,Strip,300.00,215.00,8,C1-12,Atypical Antipsychotic
Haloperidol Injection,Haldol,Janssen,Injection,Box,25.00,18.00,12,C1-13,Antipsychotic Injection
Lithium,Lithobid,Pfizer,Tablet,Strip,40.00,28.00,15,C1-14,Mood Stabilizer
Carbamazepine Syrup,Tegretol,Novartis,Syrup,Bottle,60.00,42.00,15,D1-15,Anticonvulsant Syrup
Valproic Syrup,Depakote,Abbott,Syrup,Bottle,70.00,50.00,12,D1-16,Anticonvulsant Syrup
Levetiracetam Syrup,Keppra,UCB,Syrup,Bottle,200.00,145.00,8,D1-17,Anticonvulsant Syrup
Topiramate,Topamax,Janssen,Tablet,Strip,250.00,180.00,8,D1-18,Anticonvulsant
Gabapentin Syrup,Neurontin,Pfizer,Syrup,Bottle,120.00,85.00,10,D1-19,Neuropathic Pain Syrup
Pregabalin,Lyrica,Pfizer,Tablet,Strip,200.00,145.00,10,D1-20,Neuropathic Pain
Duloxetine Syrup,Cymbalta,Eli Lilly,Tablet,Strip,200.00,145.00,8,D1-21,SNRI
Metformin 500mg,Glucophage XR,Merck,Tablet,Strip,35.00,25.00,40,E1-10,Extended Release
Gliclazide,Gliclazide,Various,Tablet,Strip,20.00,14.00,35,E1-11,Sulfonylurea
Pioglitazone,Actos,Takeda,Tablet,Strip,100.00,72.00,15,E1-12,Thiazolidinedione
Empagliflozin+Metformin,Glyxambi,Boehringer,Tablet,Strip,450.00,325.00,5,E1-13,Combination
Insulin Regular,Humulin R,Eli Lilly,Injection,Box,200.00,145.00,10,E1-14,Insulin
Insulin Glargine,Lantus,Sanofi,Injection,Box,500.00,360.00,5,E1-15,Long-acting Insulin
Insulin Aspart,NovoRapid,Novo Nordisk,Injection,Box,450.00,325.00,5,E1-16,Rapid Insulin
Insulin Lispro,Humalog,Eli Lilly,Injection,Box,450.00,325.00,5,E1-17,Rapid Insulin
Glucagon,Glucagon,Eli Lilly,Injection,Box,150.00,110.00,5,E1-18,Emergency Glucose
Diazoxide,Proglycem,Various,Tablet,Strip,300.00,215.00,5,E1-19,Antihypoglycemic
Hydroxychloroquine,Plaquenil,Sanofi,Tablet,Strip,80.00,55.00,20,H1-28,DMARD/Antimalarial
Methotrexate Injection,Methotrexate,Pfizer,Injection,Box,100.00,72.00,8,H1-29,DMARD Injection
Sulfasalazine,Azulfidine,Pfizer,Tablet,Strip,50.00,35.00,18,H1-30,DMARD
Azathioprine,Imuran,GSK,Tablet,Strip,60.00,42.00,12,H1-31,Immunosuppressant
Cyclosporine,Neoral,Novartis,Tablet,Strip,200.00,145.00,8,H1-32,Immunosuppressant
Tacrolimus,Prograf,Astellas,Tablet,Strip,350.00,250.00,5,H1-33,Immunosuppressant
Mycophenolate,CellCept,Roche,Tablet,Strip,300.00,215.00,5,H1-34,Immunosuppressant
Colchicine,Colchicine,Various,Tablet,Strip,40.00,28.00,25,H1-35,Gout
Allopurinol,Zyloprim,GSK,Tablet,Strip,25.00,18.00,30,H1-36,Gout
Febuxostat,Uloric,Takeda,Tablet,Strip,120.00,85.00,12,H1-37,Gout
Sildenafil,Viagra,Pfizer,Tablet,Strip,500.00,360.00,8,R1-01,PDE5 Inhibitor
Tadalafil,Cialis,Lilly,Tablet,Strip,450.00,325.00,8,R1-02,PDE5 Inhibitor
Finasteride,Propecia,MSD,Tablet,Strip,200.00,145.00,10,R1-03,5-ARI
Tamsulosin,Flomax,Boehringer,Tablet,Strip,100.00,72.00,15,R1-04,Alpha Blocker
Dutasteride,Avodart,GSK,Tablet,Strip,250.00,180.00,8,R1-05,5-ARI
Doxazosin,Cardura,Pfizer,Tablet,Strip,50.00,35.00,18,R1-06,Alpha Blocker
Alfuzosin,Uroxatral,Sanofi,Tablet,Strip,80.00,55.00,15,R1-07,Alpha Blocker
Clomiphene,Serophene,Sanofi,Tablet,Strip,120.00,85.00,10,R1-08,Ovulation Induction
Letrozole,Femara,Novartis,Tablet,Strip,200.00,145.00,8,R1-09,Ovulation Induction
Progesterone,Utrogestan,Pfizer,Tablet,Strip,80.00,55.00,15,R1-10,Progestogen
